Ek_folder,Ek,Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
Ek1e-6,1e-06,0.3,8,1022.719279223306,-4599.089282018562,True,0.00237629,ok
Ek1e-6,1e-06,0.3,9,971.7935815612824,-4884.489576177674,True,0.00155144,ok
Ek1e-6,1e-06,0.3,10,930.5675455273208,-5151.338508486421,True,0.00593821,ok
Ek1e-6,1e-06,0.3,11,896.7825871176327,-5402.195871176326,True,0.00455273,ok
Ek1e-6,1e-06,0.3,12,868.8534428524199,-5639.047785737901,True,0.000654406,ok
Ek1e-6,1e-06,0.3,13,845.6467077854926,-5863.440732729475,True,0.00319751,ok
Ek1e-6,1e-06,0.3,14,826.3219658892837,-6076.658963625108,True,0.00181057,ok
Ek1e-6,1e-06,0.3,15,810.2489948938979,-6279.77,True,2.39493e-05,ok
Ek1e-6,1e-06,0.3,16,796.9322416371948,-6473.600230777097,True,0.00142216,ok
Ek1e-6,1e-06,0.3,17,785.9918035706559,-6658.870760134404,True,0.00310254,ok
Ek1e-6,1e-06,0.3,18,777.1191987138584,-6836.25,True,0.0091868,ok
Ek1e-6,1e-06,0.3,19,770.0720103337089,-7006.200007785671,True,6.80198e-05,ok
Ek1e-6,1e-06,0.3,20,764.6497143770894,-7169.120588310544,True,0.00489162,ok
Ek1e-6,1e-06,0.3,21,760.6866362553998,-7325.593637446002,True,0.00384641,ok
Ek1e-6,1e-06,0.3,22,758.0508709090296,-7475.759934954608,True,0.000939647,ok
Ek1e-6,1e-06,0.3,23,756.6279328401729,-7619.959973331505,True,0.000507696,ok
Ek1e-6,1e-06,0.3,24,756.3241991733296,-7758.46006248575,True,0.00150656,ok
Ek1e-6,1e-06,0.3,25,757.059972954096,-7891.449993491902,True,0.000209116,ok
Ek1e-6,1e-06,0.3,30,774.3121436831458,-8479.729963470387,True,0.00118605,ok
Ek1e-6,1e-06,0.3,35,810.8678217695342,-8949.940138225722,True,0.00153697,ok
Ek1e-6,1e-06,0.3,40,864.3709984371421,-9308.84000202538,True,1.35277e-05,ok
Ek1e-6,1e-06,0.3,45,934.0214902380446,-9557.73,True,0.00703195,ok
Ek1e-6,1e-06,0.3,50,1019.8912063202832,-9694.197292481142,True,0.01021,ok
Ek1e-6,1e-06,0.3,55,1122.559769400086,-9712.950628364348,True,0.00189249,ok
Ek1e-6,1e-06,0.3,60,1242.9898170720085,-9605.910569701098,True,0.00146731,ok
Ek1e-6,1e-06,0.3,65,1382.3499929559357,-9361.680024981652,True,5.40632e-05,ok
Ek1e-6,1e-06,0.3,70,1541.949999542077,-8964.430001829061,True,3.3586e-06,ok
